config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms,ir_mean,phase
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,8.0,0.1484696187434343,75.0,0.2770350277423858,410.7558000005156,47567.314625,"Tight band, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,13.0,0.0805121730319627,60.0,0.6124966740608215,416.718899999978,47915.78175,"Tight band, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,18.0,0.0972853503798691,60.0,0.2306263446807861,414.9887999992643,48032.779125,"Tight band, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,23.0,0.0671189382239455,60.0,0.2515509724617004,416.815200000201,48094.18325,"Tight band, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,28.0,0.1192774665877975,60.0,0.2998467683792114,409.858300000451,48202.413875,"Tight band, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,33.0,0.1133432729318821,60.0,0.2588004171848297,408.7753000003431,48305.194375,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,38.0,0.1156869212752335,75.0,0.1218299642205238,409.6804000000702,48378.570625,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,43.0,0.0859973976447592,60.0,0.5284945368766785,405.223599999772,48458.636625,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,48.0,0.0806475103332061,75.0,0.2252256721258163,409.8076000000219,48615.7215,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,53.0,0.0897623848241634,60.0,0.2584337294101715,410.6886999998096,48677.435375,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,58.0,0.0795141112283546,60.0,0.2697736620903015,409.3875000007756,48714.38725,"Tight band, cognitive"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,63.0,0.0770708823070287,60.0,0.2342249453067779,408.4116999993057,48800.49125,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,68.0,0.1215834754285528,75.0,0.3310677111148834,411.3632999997208,48005.015,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,73.0,0.4055788399042101,75.0,0.3599843382835388,410.6964000002336,46030.1575,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,78.0,0.3135640938170868,75.0,0.2571585476398468,414.385900000525,44818.74475,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,83.0,0.4198241235047293,75.0,0.3394765853881836,409.80279999985214,44137.99925,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,88.0,0.3405208800472051,75.0,0.2549938559532165,415.5386000002181,43796.810625,Loosened band
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,93.0,0.3064076475560252,90.0,0.4233938753604889,410.8040000000983,43873.118375,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,98.0,0.0690418778614471,60.0,0.4073631167411804,415.6253000001016,45633.96175,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,103.0,0.0452284486471004,60.0,0.2697116434574127,406.42840000055,46533.47425,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,108.0,0.0147171375801934,75.0,0.5864461660385132,411.4808000003905,46471.640375,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,113.0,0.0175680201490176,75.0,0.1142928451299667,411.7114999999103,46650.73925,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,118.0,0.0154003943477388,75.0,0.2720820903778076,407.1252000003369,46885.921375,"Tight band, rest again"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,123.0,0.0148422725137754,60.0,0.115052081644535,412.1878999994806,47046.409125,Finger on sensor
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,128.0,0.0126844677123815,60.0,0.551384449005127,412.4996999998984,47491.749625,Finger on sensor
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,133.0,0.0102636519242277,75.0,0.4847698807716369,407.64730000046256,48842.43925,Finger on sensor
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,138.0,0.0299220402425508,75.0,0.3661528527736664,413.8786000003165,49884.33325,"Recovery, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,143.0,0.0310477127954107,60.0,1.8037922382354736,412.16369999983726,50262.46375,"Recovery, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,148.0,0.0056512180919196,75.0,0.4265255033969879,423.7873000001855,50174.097875,"Recovery, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,153.0,0.0051941635618113,75.0,0.2792232930660248,407.1583000004466,50315.17275,"Recovery, rest"
6s context + 2s horizon,60,20,6.0,2.0,coupling_protocol.txt,158.0,0.0092024052172538,60.0,0.9770609140396118,409.8336000006384,50386.53525,"Recovery, rest"
