time_sec,cardiac_snr_db,nrmse,phase,ir_mean
0.0,-6.564833722050465,0.6357496833557005,"Tight band, rest",47470.9122
2.5,-8.75656742874095,0.4826071658092831,"Tight band, rest",47569.1426
5.0,-11.362043825405353,0.34851534113904287,"Tight band, rest",47829.0334
7.5,-11.037817705889259,0.3105134761954259,"Tight band, rest",48018.2172
10.0,-10.265023323211304,0.2763297302267341,"Tight band, rest",48046.3106
12.5,-9.456956941579922,0.07842255452569538,"Tight band, rest",48015.0358
15.0,-12.094530554604194,0.16746683996796172,"Tight band, rest",48036.9632
17.5,-12.302827352178756,0.18551098372339891,"Tight band, rest",48129.909
20.0,-10.021944790378958,0.15327391019651,"Tight band, rest",48195.3392
22.5,-8.449947233582634,0.1614328929545384,"Tight band, rest",48208.7914
25.0,-9.189718341757265,0.2535443187229573,"Tight band, rest",48252.8194
27.5,-10.004472011379066,0.17077243348139395,"Tight band, rest",48339.344
30.0,-9.827979599773958,0.28216617612864786,"Tight band, cognitive",48388.2786
32.5,-8.271863070403336,0.2888315012517278,"Tight band, cognitive",48374.783
35.0,-10.325244636484122,0.4076207778158046,"Tight band, cognitive",48398.5436
37.5,-12.413934478535912,0.32384214136114964,"Tight band, cognitive",48490.1602
40.0,-9.984036866170257,0.16527613515336384,"Tight band, cognitive",48596.3066
42.5,-10.740990314207039,0.07816820214409166,"Tight band, cognitive",48644.601
45.0,-10.490052941201766,0.18094398429994035,"Tight band, cognitive",48654.5026
47.5,-10.94444569721701,0.18893562952914897,"Tight band, cognitive",48694.1172
50.0,-10.880776016706639,0.27876894866366925,"Tight band, cognitive",48706.118
52.5,-11.531104462362391,0.7289216378760796,"Tight band, cognitive",48698.378
55.0,-10.505379965835695,0.1807564984495788,"Tight band, cognitive",48765.6432
57.5,-11.238435736295669,0.5018999122462635,"Tight band, cognitive",48837.0942
60.0,-13.491524670494286,0.4733013030375742,Loosened band,48833.0752
62.5,-11.692660107149631,0.22821770429709015,Loosened band,47748.213
65.0,-2.754522776625605,0.08659548013110098,Loosened band,46338.936
67.5,-3.809331043539599,0.41007005171501515,Loosened band,45820.4904
70.0,-6.4448304530831475,0.19886288131832547,Loosened band,45120.244
72.5,-3.9533890953203983,0.1937318875395438,Loosened band,44452.3304
75.0,-1.9847134677356182,0.5652208610278917,Loosened band,44274.7672
77.5,-3.3857678128483326,0.19805465986519646,Loosened band,44075.9686
80.0,-3.836661455358732,0.11015115956781198,Loosened band,43863.5482
82.5,-5.636871370645307,0.2540403529368454,Loosened band,43754.3404
85.0,-3.21603880272432,0.13187346444191464,Loosened band,43717.4766
87.5,-3.968066500351802,1.091357090078222,Loosened band,43803.1538
90.0,-14.300862970501067,0.5941937543582548,"Tight band, rest (2)",44985.8618
92.5,-18.552615864616403,2.560543913032809,"Tight band, rest (2)",46449.1272
95.0,-12.061951036829866,0.3190454740204724,"Tight band, rest (2)",46578.3254
97.5,-19.20654702691853,0.19278638771938336,"Tight band, rest (2)",46412.5662
100.0,-20.093062552342257,0.11169876545347265,"Tight band, rest (2)",46454.2446
102.5,-17.949828031318674,0.26968882377744424,"Tight band, rest (2)",46466.5284
105.0,-18.57761416390652,0.12696314183282628,"Tight band, rest (2)",46560.3352
107.5,-17.523185452582155,0.1651014125470506,"Tight band, rest (2)",46714.8028
110.0,-18.212427063914177,0.30411268420791787,"Tight band, rest (2)",46834.0278
112.5,-18.41389437704206,0.13489458608084512,"Tight band, rest (2)",46919.5922
115.0,-18.41962737383551,0.14472594351577772,"Tight band, rest (2)",46996.9082
117.5,-18.799728998463586,0.3301587651021997,"Tight band, rest (2)",47076.9414
120.0,-20.310040344374176,0.4532503542365598,Finger on sensor,47165.1732
122.5,-18.272308242332727,0.6680581656605283,Finger on sensor,47553.9506
125.0,-21.014598864644665,0.4376610205861115,Finger on sensor,48468.8044
127.5,-19.9020792948212,0.4966225626740947,Finger on sensor,49233.6698
130.0,-20.079977830118807,0.6421744899545598,Finger on sensor,49610.2296
132.5,-23.003345578016837,1.2895049973460526,Finger on sensor,50072.586
135.0,-11.97701631059436,0.6235718888085547,"Recovery, rest",50325.0654
137.5,-18.895383654685634,0.5562145374789869,"Recovery, rest",50230.4204
140.0,-23.500170283582975,0.46615660178153795,"Recovery, rest",50147.4244
142.5,-22.381601190791937,0.3556166807274091,"Recovery, rest",50169.0362
145.0,-22.57308137514648,0.6310113627301837,"Recovery, rest",50255.2312
147.5,-23.8270349553717,0.34895075944297244,"Recovery, rest",50355.1272
150.0,-22.993760615844216,0.2543316892850498,"Recovery, rest",50444.5112
