config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,8.0,0.2853691206444683,60.0,0.9420799612998962,425.6462000003012
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,13.0,0.3201322791060117,75.0,0.4959605932235718,420.0134000002436
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,18.0,0.1663483550398273,75.0,0.0956318825483322,419.4254000003639
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,23.0,0.2116432810189735,60.0,0.4045958220958709,412.06179999971937
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,28.0,0.3797343826658099,60.0,0.2086560875177383,417.1607999996922
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,33.0,0.0147365043036268,75.0,1.0488572120666504,557.1249999993597
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,38.0,0.0309938133077877,90.0,0.4549300074577331,486.4018999996915
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,43.0,0.097213403970996,60.0,0.6565607190132141,415.9953999997015
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,48.0,0.0685796562232659,75.0,1.6987662315368652,416.3507000002937
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,53.0,0.0970012817664848,60.0,0.8191614151000977,470.894899999621
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,58.0,0.1520275760630471,90.0,0.5291446447372437,453.52920000004815
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,63.0,0.0187204853662171,60.0,0.8974751234054565,426.0787000002893
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,68.0,0.0137346912563397,75.0,0.1938432902097702,412.1234999993249
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,73.0,0.3032301364875513,75.0,0.8216949105262756,499.72059999981866
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,78.0,0.3198530401139514,75.0,0.4462313950061798,446.7901999996684
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,83.0,0.6029753207907667,75.0,0.295082539319992,432.9470000002402
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,88.0,0.6552034880223321,75.0,0.1960901170969009,423.3813000000737
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,93.0,0.0143960199488308,60.0,1.435877799987793,415.0525999993988
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,98.0,0.239124239275925,90.0,0.3816408514976501,411.36550000010175
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,103.0,0.3418602512794008,75.0,0.3809498846530914,411.23439999955735
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,108.0,0.313441111013723,90.0,0.7171083688735962,414.9228000005678
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,113.0,0.211290421104607,75.0,0.5860022902488708,410.8863999999812
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,118.0,0.3957585301418336,75.0,0.3056375086307525,417.7264999998442
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,123.0,0.0261701409126273,75.0,0.2659328877925873,412.6245999996172
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,128.0,0.1545740214364829,75.0,0.3868259787559509,414.9537000002965
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,133.0,0.5816403893962208,75.0,0.2330742329359054,412.00620000017807
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,138.0,0.5966884836902057,60.0,0.267619639635086,415.0336000002426
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,143.0,0.3310577330247262,75.0,0.2224458009004593,412.7702000005229
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometria.txt,148.0,0.363456753274361,75.0,0.4872388243675232,412.02869999960967
